id,documents
b62e8e9314349bf6213558e17dab1a78:12-18,0
58521a0530f656a296ba484f24c9abf4:26-28,cNum9SpAgfI
0fa0aa7ad643d03b204a94722c682587:376-377,0
f12db8617c2b3fe93283de6af34cb74b:200-202,0
2eb47858f9f4252c25ecdc2735f675ef:334-335,whCdpoodYuM
b62e8e9314349bf6213558e17dab1a78:0-5,0
d0bb7e51e24f5149464e83ea580cbdf6:308-309,3gu2rULPAfM 3kfF5P9Hj7k 5IlsfGSF2YQ 5JBZNLco4h4 5_cE4EfTvMk 7q9VFMpUiBk 8KmxqmmD3ok ChjqOkttoNQ DQO-2qs-gDw GcU-u1gWPTo JFj4eLeFrh4 KVU2Jyzr5iA KirEiL43D6I LmvadqZ_QD0 MFTv1H9CowY Mq0v5DoNq6g NQgJPZvDcCc P7LH5aMyPB4 PlK-tNXGIL0 QIymZ6XVYX8 TBY1A2qIo2Y WB9thjoGGAw YUI9XmENmzk ZIf5jijTSvc c5_gBdjOHxQ cLnh1bGrCEU cujNsqEso0g dru7lDldigw fWOEsqDjUdk gcok1JJ40Gg mjP-E5UWHRs nqH-kjW_UKY qfgemwuEdik rdSSSEnmwoc tlcjJXh8Q74 wEZMJIZRi4Y xKqcxV-JzU8 xNZMQM6QbVA xVa0mqGwbu8
d0bb7e51e24f5149464e83ea580cbdf6:338-338,NcbTOYlgk-8 Tmm3x0h01ec _Auy40SMKQQ g2PNlxC56kY
20bc9a343cf1589d0e2b22a83baaa505:60-65,0
20bc9a343cf1589d0e2b22a83baaa505:75-75,-F9ru7Kaijs 04uxD9pFOUM 0HSIZi20EjA 0LKp0st4atw 14QXt1rt6ZU 1POETc3ba9I 1tQkmgNaw7M 1xwvy__ydFE 2t_EfWLrDZo 2uGLyZzCHwo 3-YwDX7mGFA 35ZnrWk4SIQ 3OxTmfO-DVM 3VvLIhQak00 3d2geXzjQBc 3fo1XhGSzmk 4b1EZzOvN_Q 563A1Q7_qyU 5G26F_W6Z_M 5_ZcqwjiTq4 60HwREBm79k 620AP2tvmG4 69GZ4nG4xpU 6MnBVSK_Xhc 6TsDKEDwhhI 6Y_pzxYCaPU 6vkkf-EsP4s 6wYuVrtZ-MI 6z_7crwuLAE 7Qj0goBMYQQ 7qIS8nqweAY 7qcwpD9XE-M 7vObVWLrOU8 8-CBmG0aOSk 8XWrgY3Vkz8 97H5Jp9N9H0 9XfO59IGqd8 9mWUoVjRtJk A6WN3S8YlXo ATofmQ2Dzgk AdJF_v__rhY AmAwbhsTfBM AoXkqIIn5CU Au5Hagh0k0E BCvjsDZoeCE BJksA9XHnVU BKE5JBZwBBE BP1I2QYpfjs Br_sajK7dyg COnWoy9EeyU CanPbuCJO2s Ce6Qv90lHHI ChXSWCnTykw Cv1fn-3Xtro D6X4L16X1HU DSuXP41pm68 E0UIBbPEDfg E33xjUVVYtg E6wOiWc2GM8 EC01wPQEQfY EWdulq57-N0 EvJxKK9zXFM FFktEpPmx78 FPB-7WJdWPs FPxu5XpzmaI FRr_J6BRlk4 FwZLsr-waY8 G3SAIIFAfnQ GMYWh8Te0Xg GQEWp3CucU4 GrUggqxeIF4 H0sh0KN_AW4 H3kEdojyXMg H9sPXt19q2Y HTVxCkfnKR0 HWv6az_q-rE HsjYd6Xv8p0 I-X7OjQfZwI I2nbDKug-Ks I5NaWogr0x0 I9j3xGP_i-I ICSkVRMiyGU IuE4xodEQ1Q IyLL5b84zzg IyznTtmXpT0 JCpuejdlSJw JGDCaenVGug JNmG_iVSWss JTZEo03wEL8 JibWx-jW7tg JmwaADCLsSs JqlG9-Qwg1A Jy31Qfk3bJk K491m3urc6c KWbsy4JAfVU Kbm2l5pHcx8 Kg9KbsXvV0s KgJCHTn9d-8 L4iN5IewnVM LPhr7NOJnIs LZBVECxjNB0 LmcRfD4eing LzNRav5RLMI ME-VCMlytlI MPvZNtfszRQ MVIJCvjDqvw MonERI2sxds MpElM_hw8F4 NSMBG1rHbZM Nkj9Y6dNqn8 OESvwWVWfIw OKElJ7LrekM OXgT53Pipo4 OcT0rCf3yNc OjR_hl6AHaA OmHzYbP4xaU OoSRP7I0H2M OqL46_SGlE4 OtOLGGtWdxI P6XEJBVg4Bk P_s2NtnxRKA PxQA7QkWsTE Q0IieZEUveE QDlSQThW2gc QVGiCnjoAs8 R-s6fwRDR_8 R41hBrjHTO0 ROguLmba7go ROmVCl27-g4 S601znTSK9w SE00KnVS4d8 SbaOTbFakUg ShrV3DAHJ3o SjouRwo2PH0 SoxFgTEEM7Q TCHvAylxFg8 TR1BoAtU1L0 Thk1Gt5Zi0A TrY7jX6JLD8 TzczBRExij0 UPr5KtZMyt4 UnzRckIzR8g UsBRtbpJFTM Uxv7mh0ihhQ V3O5dgSWR2Q V9hHc_-oQTE VB5UFUgmPLA VBlOpCTjl5c VDZG9ZynQfE VMtpNNHYmcw VO5JDn-BbCs VXtBGNUQUX0 W4j8w763dWM W6N_x9r9y0A W7kSENupBDA WZu3CUo69K8 WaP7hGYJVwY XAGNk_snbEg XPfhWRwYFOU XpaCQVg9q20 Xu_D2ycSHKE Y2a_yPIl9oc YLmNJgakiUI YX3r6WrpDDo YjocRQWpCuE YmKtkuXUhbs Yup9OZ64kNk ZFUzoKbaxUE ZMC_bPoIypE ZRxZqUA7L48 ZTVSP_iDDZ0 Z_icmO6-o8U _6WgMv3LqzU _FdWWoO0MTE _OXKDRMa4XY _PVeGkuyH1M _ja4L310m9k a2z0dd7v-pM aBDEQYp66NY aEt2jXfvZy0 aMVZRn1Repo aU-VPVRtO7Q avJqGQVS0I8 bGI2CO-791Q bTybH1KfNaM bvy61pDE6is bwohBhm07jQ bz8Y2u73UnA cQvVpQHMqTs d-GUj0SCrOM d7DYCQJTfh0 dImX_awqYSQ dRpPnthkIdc e1ImlPvqBdk eCw4p-5aczI eI2w2iLlNws eUpRDPfnsXo eWv0LmAKHVU ejk8jrRLocQ fP0nnB2kETs fQ8tbmlnUkM fdyJ0DZO8SI gMcGfFcbOFM gRXan60sgIs giuCu-o-WvY gkO_Xp2bT3E gomIhouFo24 gv-ejhNNeq0 hT7Ss3XoAp0 h_3ZwSkIjtY i34yZ6RCLTs i98Mngkolb4 iSElafAhtuo ijAxKgw-kQI ir_BM51FqTs jHiSvObNWZ0 jZCM4w-OUk0 jeQ-TQsLXBM jkVVW3HRINk jy6vVRFiWGU jzctUFhyge4 kBmOu8TVRjU kflHqQJPaGQ klIlz8s701g kuvFyritWa8 kyKxO7IX8sw lUREmFWc_nA ltZNYsOA648 mC6CVzPKErA mUiwK1cwfBg mkRGuNTPDtM mwFV_T28ihs my2fCS1FoMQ myJobn4NcNo n2Kkq9nL-C0 nMRlJneMZdc nTsNbvi9FvI oZ079rI-2oM oiGZpLs6h2w otlmZPUUyNc oxUD5Zd0ZZs p6AGpofsfuw pCPiAVUhP9g pED_vM-VjbM phct81UqGI0 puX7yQauzgY q-OCMbvUFow qBIqtXtvWck qGxHItWX9Nw qWOSAcCwSfE qcF5AuKagWs qlQjB4ScL0w qpLRenTvfBA qq0vqH_a_rk r-ElKuYtnDQ rE_nq3XULyY rMJq0Oj1mQE s0I-HNGyHrw sVNPCUCS_0c soCTJHvxgiM t1JVxGklBEE tL9YhEteQ0U tbrSDzPtJFA teaU65nO-2U uVVQDX2GJhM urYCMI1cF0c v-MHHE1FoX8 v1ArPBuYQM4 vQk4lBcbclc vXLAQbhbxzs vYL3wqJLQBs vgLA17oWfVQ w2bMQ8Hplv8 wLgkS1gD38I wLoJpHZQSBw wg8X2J69Vr4 wmuftWs9osw wvj5_8d2HXM xUWCBcqit9w xcxhSb4wp6g xkIkuDkl7lY xkwU6hjgiLU xtXpkZV3EP4 y2fsRsXxcq8 yMyRcL0nnBI yObfsozRpkI yR1HeORsXjI ySIqCrntWHM ywzLreXA2Vs yzOoGMV210c z6deX0nkQus zAEk4y5upq8 zBrAsQVf0i4 zCzLPEs8JhY zEyIdWJV1ns zFjuVSopBLc zHqIwQHVLmg zdrK1tF2vGo zkADgk7-Yfk zzZqXxkQPYs
c76eabd3b3d7e11c299c5ee9d4c2f3ac:27-28,EKsdNTsnRjA KU6wP_OWwnk dlCWivBzPYw gd31dliNuos jkIc7YEUVKk p80027IVR9g qvpuykQ4bhA subM1QoaRgQ xjIcpkvfSQg
c9abfc107f7fe10961586f773b5df05c:5-8,K9_xKwZSGq0
caf59cfb083155185f81653c18956b58:11-12,iFuXY8a_0S8 zuLd89SxbtM
caf59cfb083155185f81653c18956b58:117-117,NcbTOYlgk-8 Tmm3x0h01ec _Auy40SMKQQ g2PNlxC56kY
caf59cfb083155185f81653c18956b58:174-174,0
