id,documents
9831f816cd3678a10993e13b1b0f0c00:45-46,0
8c8e3756f1c2e33e2bdf17cff0c41344:1-3,0
8c8e3756f1c2e33e2bdf17cff0c41344:38-40,0
8c8e3756f1c2e33e2bdf17cff0c41344:87-89,0
8c8e3756f1c2e33e2bdf17cff0c41344:101-103,0
8c8e3756f1c2e33e2bdf17cff0c41344:415-415,0
8c8e3756f1c2e33e2bdf17cff0c41344:438-443,0
8c8e3756f1c2e33e2bdf17cff0c41344:444-449,0
8c8e3756f1c2e33e2bdf17cff0c41344:451-455,0
8c8e3756f1c2e33e2bdf17cff0c41344:494-498,0
8c8e3756f1c2e33e2bdf17cff0c41344:529-530,RgKfuLlgHtQ
8c8e3756f1c2e33e2bdf17cff0c41344:532-534,0
8c8e3756f1c2e33e2bdf17cff0c41344:726-731,0
0f963e7a387f594a4480d659240e9ed3:36-37,0
fecd0938974f710f8327b27d165d80e1:97-101,0
520a21c6ab559e7cd4da063b13b52406:171-172,0
520a21c6ab559e7cd4da063b13b52406:231-232,4C68pBa4j2w 8wshudOfc4A VQM-CoV5AXc VqZDJd9gpj0 YgRAEz80s5c ioxQ9wsUI8A
97e2681293ddc2deda043c7ecad8e133:143-146,0
97e2681293ddc2deda043c7ecad8e133:335-337,0
8dc6d705bc17ffa0d60eb1c114883687:79-81,64j6xSkWDxw GLzw0uj9Mwc KLvgjMbBf-M WACbjsZ6lSM Wd1laEvdboU X-lY54Fgryk _kc_dHfh5OQ
8dc6d705bc17ffa0d60eb1c114883687:665-667,64j6xSkWDxw GLzw0uj9Mwc KLvgjMbBf-M WACbjsZ6lSM Wd1laEvdboU X-lY54Fgryk _kc_dHfh5OQ
6fca64c7246679bd9639db6b77f41915:38-39,0
